City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 1 hours),Snow inches (last 1 hours)
137,Cardenas,CU,2020-07-12 16:38:40,23.04,-81.2,86.0,74,40,8.05,scattered clouds,0,0
138,Nemuro,JP,2020-07-12 16:38:40,43.32,145.57,54.37,93,98,9.1,overcast clouds,0,0
139,Mitu,CO,2020-07-12 16:34:35,1.2,-70.17,73.18,97,98,0.72,light rain,0.39,0
140,Ilulissat,GL,2020-07-12 16:38:40,69.22,-51.1,48.2,70,44,6.93,scattered clouds,0,0
141,Jinchang,CN,2020-07-12 16:38:40,38.5,102.17,72.59,44,0,7.78,clear sky,0,0
142,Luderitz,NA,2020-07-12 16:38:40,-26.65,15.16,60.8,55,0,5.82,clear sky,0,0
143,San Pedro,PH,2020-07-12 16:38:40,14.35,121.02,82.99,89,100,3.47,light rain,0.13,0
144,Fortuna,US,2020-07-12 16:38:40,40.6,-124.16,64.0,82,1,4.7,clear sky,0,0
145,Mahon,ES,2020-07-12 16:38:40,39.89,4.27,84.2,26,20,14.99,few clouds,0,0
146,Plainview,US,2020-07-12 16:34:10,40.78,-73.47,86.0,48,40,9.17,scattered clouds,0,0
147,Butaritari,KI,2020-07-12 16:38:41,3.07,172.79,82.31,80,61,15.37,light rain,0.15,0
148,Khomutovo,RU,2020-07-12 16:38:41,52.47,104.4,62.6,100,40,2.24,scattered clouds,0,0
149,Ponta Delgada,PT,2020-07-12 16:38:41,37.73,-25.67,73.4,64,20,12.75,few clouds,0,0
150,Yongzhou,CN,2020-07-12 16:38:41,26.46,111.6,78.03,86,98,4.52,overcast clouds,0,0
151,Tarakan,ID,2020-07-12 16:38:42,3.3,117.63,79.59,79,98,4.32,light rain,0.28,0
152,Bredasdorp,ZA,2020-07-12 16:38:42,-34.53,20.04,57.2,54,0,6.93,clear sky,0,0
153,Bambous Virieux,MU,2020-07-12 16:38:42,-20.34,57.76,72.0,73,75,17.22,broken clouds,0,0
154,Victoria,HK,2020-07-12 16:33:45,22.29,114.16,82.99,82,26,1.99,scattered clouds,0,0
155,Maldonado,UY,2020-07-12 16:38:42,-34.67,-54.92,51.01,71,57,13.87,broken clouds,0,0
156,Lompoc,US,2020-07-12 16:38:42,34.64,-120.46,66.2,82,0,3.36,clear sky,0,0
157,Abonnema,NG,2020-07-12 16:38:43,4.71,6.79,75.2,100,75,6.93,thunderstorm with light rain,0,0
158,Srivardhan,IN,2020-07-12 16:38:43,18.03,73.02,81.84,82,100,5.61,light rain,0.63,0
159,Cherskiy,RU,2020-07-12 16:38:43,68.75,161.3,48.65,95,100,2.68,overcast clouds,0,0
